traj_id,object_x,object_y,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6
0.0,-90.0,11.442526356760858,24.337486576279318,23.497709976711956,21.55511846289094,19.323257531884096,22.346601198932998,23.803221457662517
0.0,-88.18181818181819,11.349506804777928,24.26537405328088,23.434590368739034,21.473866034437133,19.159188411258736,22.29051502566031,23.75007436998186
0.0,-86.36363636363636,11.151254526722855,24.192724295830686,23.372737982576464,21.395544963506364,18.985540886958297,22.230521260814573,23.69512831206316
0.0,-84.54545454545455,10.848989833732563,24.11953725411618,23.312327414281164,21.32008367588003,18.800044856762458,22.165241838926352,23.638225492472657
0.0,-82.72727272727273,10.444573269225664,24.045816246596928,23.253522543224875,21.24851508851581,18.601848436678317,22.09609904629093,23.579221902607173
0.0,-80.9090909090909,9.940494156616085,23.972129774788357,23.196474764718026,21.181220645946908,18.388764744684515,22.023025036811898,23.517988919124207
0.0,-79.0909090909091,9.339855276669066,23.90271866652924,23.141451291145913,21.119555955073107,18.16262748323201,21.944350055823918,23.454414796560442
0.0,-77.27272727272728,8.646353768815567,23.833015690959314,23.08863224642581,21.063799116125704,17.91631002439127,21.860144099879953,23.388406036641832
0.0,-75.45454545454545,7.864258373984143,23.759632486989126,23.038027962580575,21.01491732544173,17.652596898081732,21.770674284891616,23.319888621658805
0.0,-73.63636363636364,6.998383159028508,23.680976842331432,22.990173255707568,20.973997647237248,17.371711216038165,21.675686574877343,23.248809100266858
0.0,-71.81818181818181,6.054057884485951,23.604166158155508,22.943344360457488,20.940827313335895,17.0645439037837,21.574517225978116,23.17459621110519
0.0,-70.0,5.037095198063316,23.531179385556698,22.89912767469054,20.91755410439361,16.736489649689368,21.467677289352885,23.097280862861453
0.0,-68.18181818181819,3.953754855785922,23.45897568075931,22.856155067872827,20.90379284599616,16.38422371394079,21.3545074905025,23.01706832998328
0.0,-66.36363636363636,2.810705191040581,23.38729690402124,22.815526437776988,20.901072367975928,16.00690135371782,21.235384793655545,22.933690012360465
0.0,-64.54545454545455,1.614982068684177,23.312998829228007,22.777310869178663,20.90934260002697,15.621211296121416,21.10940839577281,22.847662828844673
